Date,close,open,high,circulating_market_cap,low,market_cap,EMA5
2005-01-04,1.46,1.47,1.47,9189040000,1.45,12686760000,1.0
2005-01-05,1.45,1.46,1.47,9104480000,1.42,12570010000,1.004444
2005-01-06,1.46,1.45,1.47,9189040000,1.44,12686760000,0.998528
2005-01-07,1.46,1.47,1.48,9174950000,1.45,12667300000,0.999019
2005-01-10,1.47,1.46,1.47,9287700000,1.43,12822970000,0.99064
2005-01-11,1.47,1.47,1.47,9287700000,1.47,12822970000,0.99064
2005-01-12,1.46,1.48,1.48,9203130000,1.45,12706220000,1.002507
2005-01-13,1.47,1.46,1.48,9259510000,1.45,12784050000,0.99739
2005-01-14,1.45,1.47,1.48,9160850000,1.45,12647840000,1.002605
2005-01-17,1.4,1.45,1.45,8808510000,1.39,12161390000,1.029334
2005-01-18,1.39,1.4,1.41,8766230000,1.38,12103010000,1.024017
2005-01-19,1.38,1.39,1.4,8681670000,1.38,11986260000,1.020847
2005-01-20,1.35,1.38,1.38,8470270000,1.34,11694390000,1.033609
2005-01-21,1.43,1.34,1.45,9034010000,1.31,12472720000,0.976336
2005-01-24,1.45,1.48,1.49,9118570000,1.43,12589470000,0.980763
2005-01-25,1.41,1.44,1.45,8893070000,1.4,12278140000,1.005389
2005-01-26,1.41,1.41,1.45,8878980000,1.4,12258680000,1.003833
2005-01-27,1.37,1.41,1.41,8653480000,1.37,11947350000,1.021469
2005-01-28,1.38,1.37,1.38,8695760000,1.35,12005720000,1.00777
2005-01-31,1.36,1.38,1.38,8540730000,1.35,11791680000,1.013776
2005-02-01,1.36,1.36,1.39,8583010000,1.36,11850060000,1.009246
2005-02-02,1.43,1.37,1.43,9019920000,1.36,12453260000,0.974697
2005-02-03,1.41,1.43,1.44,8893070000,1.41,12278140000,0.993776
2005-02-04,1.48,1.41,1.51,9301790000,1.4,12842430000,0.96554
2005-02-16,1.47,1.48,1.5,9287700000,1.46,12822970000,0.97674
2005-02-17,1.47,1.48,1.49,9245410000,1.46,12764590000,0.988661
2005-02-18,1.48,1.47,1.5,9301790000,1.47,12842430000,0.986928
2005-02-21,1.5,1.48,1.52,9456820000,1.48,13056470000,0.978464
2005-02-22,1.51,1.5,1.51,9499100000,1.48,13114840000,0.984742
2005-02-23,1.49,1.51,1.52,9400440000,1.48,12978630000,0.994063
2005-02-24,1.48,1.5,1.5,9344070000,1.47,12900800000,1.001144
2005-02-25,1.49,1.48,1.51,9358160000,1.48,12920260000,1.000876
2005-02-28,1.45,1.49,1.49,9132670000,1.44,12608930000,1.018787
2005-03-01,1.43,1.45,1.45,9019920000,1.43,12453260000,1.021466
2005-03-02,1.43,1.43,1.45,8991730000,1.42,12414350000,1.01437
2005-03-03,1.44,1.43,1.44,9076290000,1.42,12531090000,1.005513
2005-03-04,1.42,1.44,1.44,8963540000,1.42,12375430000,1.013214
2005-03-07,1.4,1.42,1.43,8794420000,1.39,12141930000,1.01855
2005-03-08,1.42,1.43,1.43,8949450000,1.4,12355970000,1.003427
2005-03-09,1.41,1.42,1.43,8864890000,1.4,12239220000,1.006866
2005-03-10,1.38,1.41,1.41,8681670000,1.37,11986260000,1.018291
2005-03-11,1.37,1.37,1.38,8625300000,1.36,11908430000,1.016542
2005-03-14,1.36,1.37,1.38,8568920000,1.35,11830600000,1.015959
2005-03-15,1.34,1.37,1.38,8442080000,1.33,11655470000,1.020322
2005-03-16,1.33,1.34,1.34,8357520000,1.32,11538730000,1.023478
2005-03-17,1.34,1.33,1.35,8413890000,1.33,11616560000,1.010771
2005-03-18,1.33,1.34,1.35,8357520000,1.32,11538730000,1.012292
2005-03-21,1.33,1.33,1.34,8371610000,1.32,11558180000,1.003686
2005-03-22,1.24,1.34,1.34,7807870000,1.23,10779850000,1.054733
2005-03-23,1.2,1.24,1.25,7554180000,1.2,10429610000,1.0591
2005-03-24,1.21,1.2,1.22,7610550000,1.19,10507440000,1.033541
2005-03-25,1.21,1.21,1.22,7610550000,1.2,10507440000,1.02215
2005-03-28,1.19,1.2,1.21,7469620000,1.17,10312860000,1.025347
2005-03-29,1.19,1.19,1.2,7469620000,1.18,10312860000,1.01804
2005-03-30,1.14,1.19,1.19,7187750000,1.13,9923690000,1.042199
2005-03-31,1.17,1.14,1.17,7342780000,1.13,10137730000,1.010978
2005-04-01,1.25,1.16,1.28,7892430000,1.15,10896600000,0.960051
2005-04-04,1.21,1.24,1.25,7638740000,1.2,10546360000,0.992292
2005-04-05,1.23,1.21,1.26,7737400000,1.21,10682560000,0.989307
2005-04-06,1.26,1.23,1.27,7906520000,1.21,10916060000,0.978462
2005-04-07,1.38,1.28,1.38,8695760000,1.28,12005720000,0.926156
2005-04-08,1.52,1.41,1.52,9569570000,1.38,13212130000,0.894315
2005-04-11,1.55,1.52,1.65,9780970000,1.48,13504010000,0.914403
2005-04-12,1.49,1.54,1.55,9358160000,1.48,12920260000,0.97036
2005-04-13,1.54,1.5,1.6,9696410000,1.5,13387260000,0.95642
2005-04-14,1.48,1.53,1.54,9301790000,1.46,12842430000,0.999258
2005-04-15,1.48,1.45,1.52,9344070000,1.43,12900800000,0.992443
2005-04-18,1.44,1.47,1.47,9062200000,1.42,12511640000,1.016163
2005-04-19,1.51,1.44,1.52,9513190000,1.43,13134300000,0.977877
2005-04-20,1.48,1.48,1.51,9344070000,1.44,12900800000,0.999947
2005-04-21,1.48,1.48,1.48,9344070000,1.48,12900800000,0.999947
2005-04-22,1.34,1.38,1.43,8427980000,1.34,11636020000,1.074429
2005-04-25,1.3,1.3,1.31,8160210000,1.21,11266310000,1.07674
2005-04-26,1.35,1.29,1.37,8526640000,1.28,11772220000,1.020459
