Date,close,market_cap,circulating_market_cap,Price1Y,ATR14,Variance120,VEMA26,net_interest_expense,net_invest_cash_flow_ttm,non_operating_net_profit_ttm
2011-09-01,5.44,86738320000,52573720000,-0.001628,18.427143,0.079439,539680.124562,-255159808,-34491077120,97499000
2011-09-02,5.44,86738320000,52573720000,-0.001491,15.970714,0.07934,499703.81904,-255159808,-34491077120,97499000
2011-09-05,5.28,84279110000,51083150000,-0.029681,16.696429,0.080172,488896.128741,-255159808,-34491077120,97499000
2011-09-06,5.25,83818010000,50803670000,-0.034735,17.282857,0.080155,474192.711799,-255159808,-34491077120,97499000
2011-09-07,5.35,85355020000,51735280000,-0.016776,16.612143,0.080314,463717.992405,-255159808,-34491077120,97499000
2011-09-08,5.32,84893920000,51455790000,-0.021879,15.997857,0.080285,448465.326299,-255159808,-34491077120,97499000
2011-09-09,5.29,84432810000,51176310000,-0.026978,16.360714,0.08032,435453.52435,-255159808,-34491077120,97499000
2011-09-13,5.3,84637750000,51300530000,-0.024383,16.5,0.079871,422756.670695,-255159808,-34491077120,97499000
2011-09-14,5.27,84125410000,50989990000,-0.029907,16.64,0.079901,419343.139531,-255159808,-34491077120,97499000
2011-09-15,5.32,84842680000,51424740000,-0.021327,14.657857,0.07991,420620.092155,-255159808,-34491077120,97499000
2011-09-16,5.46,87096960000,52791100000,0.005071,15.439286,0.08073,459495.78903,-255159808,-34491077120,97499000
2011-09-19,5.33,85047620000,51548950000,-0.018329,14.378571,0.081902,445547.434285,-255159808,-34491077120,97499000
2011-09-20,5.38,85764890000,51983700000,-0.009806,14.295,0.081825,427160.661375,-255159808,-34491077120,97499000
2011-09-21,5.48,87404360000,52977420000,0.009241,14.63,0.082439,430330.612384,-255159808,-34491077120,97499000
2011-09-22,5.36,85559950000,51859490000,-0.012021,14.965,0.082675,428103.529985,-255159808,-34491077120,97499000
2011-09-23,5.34,85150080000,51611060000,-0.016668,16.361429,0.08082,425162.675912,-255159808,-34491077120,97499000
2011-09-26,5.15,82178540000,49809950000,-0.050858,16.947857,0.081947,431219.440661,-255159808,-34491077120,97499000
