,open,close,high,low,volume,money
2021-01-04,18.95,18.45,18.95,18.3,156643831.0,2891682312.05
2021-01-05,18.26,18.03,18.34,17.66,183567466.0,3284606913.91
2021-01-06,17.94,19.41,19.41,17.86,195016094.0,3648521909.1
2021-01-07,19.37,19.74,19.82,19.08,159664285.0,3111274625.37
2021-01-08,19.74,19.7,19.94,19.16,120487406.0,2348316363.18
2021-01-11,19.84,20.22,20.48,19.84,180453675.0,3652546646.82
2021-01-12,20.23,20.84,20.84,20.02,129829524.0,2657687440.67
2021-01-13,20.84,20.54,20.85,20.24,105736969.0,2161849708.04
2021-01-14,20.52,20.01,20.73,19.79,113904282.0,2306404546.81
2021-01-15,20.84,20.84,21.78,20.66,250019636.0,5311218074.76
2021-01-18,21.03,22.52,22.6,21.03,217426614.0,4792909447.95
2021-01-19,22.33,22.17,22.66,21.88,125185574.0,2790056611.29
2021-01-20,21.98,22.29,22.79,21.95,129086493.0,2889249850.45
2021-01-21,22.32,22.06,22.62,21.98,95220805.0,2114252731.64
2021-01-22,22.06,21.86,22.06,21.34,93170389.0,2025834761.54
2021-01-25,21.55,22.31,22.42,21.26,103645202.0,2269032820.67
2021-01-26,22.13,22.2,23.14,22.13,113558074.0,2558575511.97
2021-01-27,22.14,22.9,23.29,22.14,130432954.0,2976800955.73
2021-01-28,22.6,22.63,23.0,22.27,86421990.0,1948881146.95
2021-01-29,22.63,22.91,23.36,22.53,125001142.0,2864101419.33
2021-02-01,22.82,24.36,24.8,22.52,148684013.0,3529556986.77
2021-02-02,23.2,23.1,23.91,22.73,243516878.0,5679179941.74
2021-02-03,23.3,24.76,24.98,23.2,193839561.0,4690176486.28
2021-02-04,23.99,24.41,25.04,23.85,126511838.0,3084553750.95
2021-02-05,24.41,24.74,25.11,24.08,102356177.0,2517804159.63
2021-02-08,24.71,24.61,24.71,23.91,109279100.0,2650948251.38
2021-02-09,24.6,24.39,24.65,23.98,94950189.0,2302978158.4
2021-02-10,24.41,23.63,24.77,23.2,193395649.0,4569741959.9
2021-02-18,23.81,24.11,24.36,23.3,151706749.0,3619387651.71
2021-02-19,23.77,23.66,24.0,23.39,92983805.0,2197558286.91
2021-02-22,23.61,22.21,23.61,22.09,197223049.0,4445818547.6
2021-02-23,22.21,21.76,22.5,21.65,188516886.0,4160776611.31
2021-02-24,22.1,21.99,22.11,21.39,143973314.0,3144209051.81
2021-02-25,22.23,21.92,22.38,21.51,160593351.0,3524600794.46
2021-02-26,21.43,21.21,21.79,21.04,113382378.0,2424653753.46
2021-03-01,21.37,21.28,21.51,21.01,113423623.0,2408050906.4
2021-03-02,21.45,21.48,21.98,21.09,148501162.0,3196536981.14
2021-03-03,21.41,22.83,22.9,21.29,193473070.0,4320024431.32
2021-03-04,22.59,22.74,23.31,22.47,122312259.0,2799747146.41
2021-03-05,22.52,22.17,22.8,21.69,88709281.0,1960439115.04
2021-03-08,22.26,21.43,22.51,21.31,100158871.0,2189190957.56
2021-03-09,21.51,20.69,21.75,20.42,137260486.0,2882931927.56
2021-03-10,20.68,20.24,20.75,20.12,115845523.0,2356185003.94
2021-03-11,20.42,21.1,21.21,20.4,105690573.0,2213107787.13
2021-03-12,21.2,21.31,21.53,21.03,70268317.0,1494219075.5
2021-03-15,21.23,21.43,21.95,20.95,96628801.0,2077984893.95
2021-03-16,21.43,21.49,21.94,21.1,94707371.0,2038470660.53
2021-03-17,21.28,21.03,21.38,20.74,82794859.0,1738185857.1
2021-03-18,21.13,21.56,21.56,20.84,69704880.0,1483801548.98
2021-03-19,21.36,20.31,21.48,20.21,153761930.0,3159181042.96
2021-03-22,20.39,21.38,21.38,20.37,146260180.0,3087549484.44
2021-03-23,21.4,21.06,21.48,20.8,68827352.0,1448043613.41
2021-03-24,21.04,20.37,21.11,20.29,85676988.0,1757688572.48
2021-03-25,20.42,20.59,20.67,20.24,49653991.0,1017166048.68
2021-03-26,20.68,20.98,21.23,20.6,82857287.0,1733412579.12
2021-03-29,21.11,21.32,21.48,21.03,79184492.0,1684397866.28
2021-03-30,21.21,21.76,21.76,21.04,74446337.0,1601238499.06
2021-03-31,21.6,21.84,21.9,21.43,78313838.0,1699922183.98
2021-04-01,21.91,21.61,21.94,21.33,54873036.0,1183868023.66
2021-04-02,21.53,21.33,21.56,21.19,58565298.0,1249405387.16
